# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
178 | high | 2026-07-16 | KR | 2026-07-16_KR_03 | 대법원, 엠플러스 배터리장비 특허분쟁 판결 확정 | FACT: 대법원 선고목록에는 사건 2026다202753이 '특허권침해금지 등 청구의 소'로 기재됐다. KRX 공시는 특허법원 사건번호 2023나11436을 제시했고, 이투데이는 대법원이 양측 상고를 모두 기각해 특허법원 판결이 확정됐다고 보도했다. | GATE: 최종심 확정은 특허분쟁의 법적 결론을 의미하지만 실제 재무효과까지 확정하지는 않는다. 판결집행과 후속 공시가 사업상 영향의 다음 판단기준이다.
179 | high | 2026-07-16 | KR | 2026-07-16_KR_01 | 정부, 태양광 고정가격 입찰 1GW 공고…상한 147.686원/kWh | FACT: 기후에너지환경부는 2026년 7월 16일 제1차 태양광 고정가격계약 경쟁입찰을 공고했다. 공고용량은 1,000MW 내외이고 입찰 상한가격은 147.686원/kWh로 전년 상한가격보다 약 5% 낮다. 정부는 이를 RPS 개편을 앞둔 마지막 연도 입찰로 설명했다. | GATE: 공고는 약 1GW의 경쟁입찰 창구를 열었지만 실제 계약량과 가격은 접수·평가 결과에 따라 결정된다. '마지막 연도 입찰'은 정부 보도자료의 표현이며 개별 하반기 절차를 임의로 추정하지 않는다.
180 | high | 2026-07-16 | JP | 2026-07-16_JP_01 | 스탠다드에너지, 일본 MK택시에서 VIB ESS 해외 첫 실증 | FACT: 스탠다드에너지는 2026년 7월 16일 일본 교토 MK택시 본사에 VIB ESS를 설치하고 현장 실증을 시작했다고 밝혔다. 설비는 초급속 충전 전력을 보조하고 전력 피크를 낮춰 계약전력에 따른 충전기 사용 제약을 완화하는 것이 목표다. | GATE: 해외 설치와 실증운전 개시는 확인됐지만 설비용량과 검증기간, 목표 성능은 공개되지 않았다. 초기 현장실증을 일본 충전시장 상용진입으로 확대해 해석해서는 안 된다.
181 | high | 2026-07-16 | GL | 2026-07-16_GL_05 | 말레이시아 LSS6, 태양광 2.5GW·BESS 1.25GW 입찰 개시 | FACT: 말레이시아 LSS6 프로그램은 태양광 2,500MW와 BESS 1,250MW의 총 조달쿼터를 제공한다. 이 가운데 패키지 1 공개입찰은 태양광 2,200MW와 BESS 1,100MW로 구성된다. 현재 단계는 입찰개시다. | GATE: 대규모 태양광 조달에 BESS 전력용량을 병렬 배정한 구조가 핵심이다. 다만 입찰개시는 낙찰·금융종결·착공을 의미하지 않으며 저장시간도 아직 카드 수치에 포함되지 않는다. 실제 ESS 수요는 입찰조건과 낙찰결과에서 확정된다.
182 | high | 2026-07-16 | GL | 2026-07-16_GL_03 | Waaree, 인도 5.15GWh BESS 컨테이너 제조시설 가동 | FACT: Waaree ESS는 2026년 7월 16일 인도 BESS 컨테이너 제조시설 가동을 발표했다. 설계능력은 당초 3.5GWh에서 5.15GWh로 상향됐으며, 배터리팩 5.15GWh와 셀 3.5GWh 시설은 별도 가동계획으로 제시됐다. | GATE: 이번 가동은 BESS 컨테이너 제조시설에 한정된다. 배터리팩 5.15GWh와 셀 3.5GWh는 같은 회계연도에 예정된 별도 후속시설이다.
183 | high | 2026-07-16 | GL | 2026-07-16_GL_01 | 호주 우선심사 목록 12건 추가…BESS 7개·5.895GWh 포함 | FACT: 호주 기후변화·에너지·환경·수자원부(DCCEEW)는 2026년 7월 16일 우선목록에 신규 프로젝트 12건을 추가했다. 이 가운데 11건은 발전·저장 프로젝트이고 1건은 송전 프로젝트다. 공식 표에 기재된 BESS 7건은 400MWh, 300MWh, 2,414MWh, 718MWh, 1,063MWh, 200MWh, 800M | GATE: 우선목록은 계획·환경심사 시간을 줄이기 위한 행정 우선순위다. 호주 정부도 승인 또는 불승인 결정을 더 빠르게 내리는 절차로 설명하므로, 실제 조달수요는 개별 승인과 금융종결 이후에 확정된다.
184 | high | 2026-07-16 | EU | 2026-07-16_EU_02 | Alfen·CATL, 유럽 나트륨이온 BESS 최대 5GWh 협력 | FACT: Alfen과 CATL은 2026년 7월 16일 유럽 나트륨이온 BESS 협력 MOU를 발표했다. 양사는 2027년부터 CATL 시스템을 최대 5GWh 규모로 배치하는 계획을 제시했다. | GATE: 발표는 MOU와 배치계획 단계이며 확정 주문이나 프로젝트별 발주가 아니다. 실제 상용조달은 프로젝트 계약, 인도일정, 설치실적에서 확인해야 한다.
185 | high | 2026-07-16 | EU | 2026-07-16_EU_01 | 영국 West Northamptonshire, 노상 EV 충전소켓 3000개 초과 구축계약 | FACT: West Northamptonshire Council은 Char.gy와 3000개가 넘는 노상 EV 충전소켓 구축계약을 체결했다. Char.gy는 경쟁조달을 통해 선정됐으며 설치는 2026년 중반 시작될 예정이다. | GATE: 계약수량은 설치·가동 완료 물량과 다르다. 2026년 중반 설치개시 이후 실제 구축속도와 이용률, 지역 전력망 수용성이 실행성과를 가른다.
186 | high | 2026-07-16 | CN | 2026-07-16_CN_05 | Hunan Yuneng, 240억위안 LFP·인산철 복합단지 투자안 승인 | FACT: Hunan Yuneng 이사회는 약 240억위안 규모의 Guizhou 웡안 복합단지 투자안을 승인했다. 계획에는 연산 80만톤 LFP와 100만톤 인산철, 원료·탄산리튬 가공과 폐배터리 재활용이 포함된다. 총 건설기간은 5년이며 착공 후 18개월 투자액은 50억~80억위안으로 제시됐다. | GATE: 투자안은 주주총회 등 후속 승인이 필요한 계획으로 이미 집행된 CAPEX와 구분해야 한다. 회사는 5년 건설기간과 착공 후 18개월 내 50억~80억위안 투입계획을 제시했다. 초기 승인과 실제 착공·자금집행 사이의 간극이 핵심 리스크다.
187 | high | 2026-07-16 | CN | 2026-07-16_CN_04 | Xianhui, CATL 계열 판매계약·지정통지 9.2억위안 공시 | FACT: Xianhui Technology와 지배자회사 Fujian Dongheng은 2026년 3월 7일부터 7월 공시일까지 CATL 및 계열사에서 세전 약 9.2억위안의 각종 판매계약과 지정통지를 수령했다고 밝혔다. 계약은 양측 날인과 권한대표 서명으로 효력이 발생하고 정해진 기간 안에 납품하도록 규정됐다. 회사는 순조로운 이 | GATE: 공시금액은 판매계약과 지정통지의 합계이며 매출인식은 납품·검수·대금회수에 따라 달라진다. 결제구조는 선급금·출하대금·검수대금·보증금과 납품 후 90일 정산을 포함해 실행기간과 운전자본 부담이 핵심 변수다.
188 | high | 2026-07-15 | US | 2026-07-15_US_05 | Electrovaya–Amazon, 배터리 공급계약과 2억8000만달러 연동 워런트 | FACT: Electrovaya는 2026년 7월 15일 Amazon과 상업계약 및 워런트 거래를 발표했다. 계약은 물류장비 운영에서 Infinity Battery Technology의 지속 배치를 지원한다. Amazon은 최대 1,388만345주의 워런트를 받으며 누적 미래구매액이 2억8000만달러에 도달하면 워런트가 전부 귀속된 | GATE: 거래는 배터리 공급관계와 지분연계 인센티브를 결합했다는 점에서 의미가 있다. 그러나 2억8000만달러는 확정 주문액이 아니라 워런트 완전귀속 조건이다. 실제 구매량과 적용사업 확대가 경제적 가치를 결정한다.
189 | high | 2026-07-15 | US | 2026-07-15_US_04 | PureSky, 운영자산 1억8370만달러 투자등급 리파이낸싱 | FACT: PureSky는 운영 포트폴리오에 대해 1억8370만달러 규모의 투자등급 리파이낸싱을 완료했다고 발표했다. pv magazine USA는 기존 부채 포트폴리오 8개를 하나의 금융구조로 통합했다고 보도했다. | GATE: 거래는 운영자산의 부채 통합과 리파이낸싱을 확인하지만 금리와 만기, 자산별 배분은 공개되지 않았다. 따라서 자본비용 개선폭은 추가 조건 공개 전까지 정량화하기 어렵다.
190 | high | 2026-07-15 | US | 2026-07-15_US_01 | Eos, 미국 Golden Dome용 장주기 ESS 계약 수주…초기 시제품 배치 | FACT: Eos Energy Enterprises는 2026년 7월 15일 미국 Golden Dome 프로그램을 위한 장주기 에너지저장 계약을 수주했다고 발표했다. 대통령 발언은 이를 수백만달러 규모의 파트너십으로 소개했으며, 첫 단계는 핵심 군사시설에 Z3 시제품을 배치하는 범위다. Eos는 해당 시스템의 미국산 비중이 약 91 | GATE: 국방 프로그램의 실명 수요가 비리튬 장주기 저장장치에 연결됐지만 최초 단계는 상용대량배치가 아니라 시제품이다. 계약은 수백만달러 규모로 소개됐으나 정확한 금액·수량·수락시험 조건은 공개되지 않았고 후속 확대는 성능과 국방수요에 달려 있다.
191 | high | 2026-07-15 | KR | 2026-07-15_KR_03 | 한전KDN, 고창 AI 배전망 ESS 최종사업자 선정 | FACT: 정부의 배전망 ESS 1차 사업은 9개 사업자와 32개 선로를 선정해 각각 20년간 운영하도록 구성됐다. 한전KDN은 전북 고창지역 중심 사업자로 선정됐으며 NHN은 AI 적용, 한양정공은 시공역할로 컨소시엄에 참여한다. 한전KDN은 자체 에너지ICT·VPP 플랫폼을 기반으로 발전량·수요예측과 충방전 최적제어를 추진할 계 | GATE: 이번 사건은 전체 32개 선로 사업과 구분되는 한전KDN 컨소시엄의 지역별 사업자 선정이다. 설비규모, 배터리 공급자와 실제 설치일정은 공개자료에서 확인되지 않았다.
192 | high | 2026-07-15 | KR | 2026-07-15_KR_02 | 한국, 고철·비철 수출신고 전환…폐식용유·폐IC트레이 수입신고 면제 예고 | FACT: 기후에너지환경부는 2026년 7월 15일 폐기물 수출입 관리 고시 2건의 개정안을 발표했다. 종전 신고면제 대상이던 고철·비철금속은 수출신고 대상으로 전환하고, 지정 순환자원 중 폐지·폐유리를 제외한 폐식용유·폐IC트레이 등은 수입신고를 면제하는 내용이다. 행정예고는 7월 16일부터 8월 5일까지이며, 정부는 후속 심사를 | GATE: 현재 단계는 폐기물 수출입 관련 고시 2건의 행정예고다. 의견수렴·규제영향분석·법제처 심사가 남아 있어 대상품목과 시행조건은 최종 고시에서 다시 확인해야 한다.
193 | high | 2026-07-15 | GL | 2026-07-15_GL_08 | Qair, 모리셔스 BESS 4곳에 PowerUp 분석계약 체결 | FACT: Qair는 경쟁 솔루션 비교를 거쳐 PowerUp과 7월 15일 3년 계약을 체결했다. Battery Insight는 모리셔스에서 건설 중인 BESS 4곳의 안전·성능 모니터링에 적용된다. | GATE: 분석도구 선정은 운영준비의 신호지만 BESS 준공·상업운전이나 대규모 소프트웨어 매출을 의미하지 않는다. 계약가치와 자산별 MW·MWh가 공개되지 않아 헤드라인보다 운영기술 보조사례로 다루는 것이 적절하다.
194 | high | 2026-07-15 | GL | 2026-07-15_GL_06 | 호주, 대형 데이터센터에 신규전원·계통비용 의무 입법 예고 | FACT: 호주 정부는 차세대 대형 데이터센터에 자체 수요를 뒷받침할 신규 전원 확보를 요구하겠다고 밝혔다. 계통접속비용 전액 부담, 계통 필요 시 부하감축과 물 효율 기준도 법적 의무로 제시했다. 정부는 8월 National Cabinet 논의 후 2027년 초 입법을 예상한다. | GATE: 데이터센터 전력수요를 전원·망투자 책임과 직접 연결하려는 정책전환이다. 다만 아직 법률이 제정된 것은 아니며 적용대상과 인정전원은 후속 법안에서 확정된다. 8월 National Cabinet 논의와 2027년 초 입법일정이 핵심이다.
195 | high | 2026-07-15 | GL | 2026-07-15_GL_04 | 뉴캐슬항, 호주 3개 대형 BESS 배터리 물량 수령·보관 | FACT: Port of Newcastle은 NSW 정부의 2025년 말 승인을 바탕으로 대형 BESS 배터리 물량을 수령·보관하고 있다고 2026년 7월 15일 밝혔다. 대상은 AGL Tomago, Origin Energy Eraring, Bellambi Heights 프로젝트다. | GATE: 리튬이온 배터리 임시보관 승인은 2025년 말에 취득했다. 이번 실행신호는 2026년 7월 15일 공개된 3개 프로젝트의 실제 물량 처리다.
196 | high | 2026-07-15 | GL | 2026-07-15_GL_02 | Codelco 회장, Maricunga 리튬 생산시점을 2034년으로 전망 | FACT: The Northern Miner와 Reporte Minero는 2026년 7월 15일 Codelco 회장 Bernardo Fontaine이 Maricunga 리튬 프로젝트 생산을 2034년으로 전망했다고 보도했다. 두 매체는 프로젝트가 약 8년 뒤 생산단계에 들어갈 것이라는 설명을 전했다. | GATE: 2034년은 보도된 회장 전망이다. 확정된 최종투자결정이나 인허가 완료 일정으로 확대해 해석할 수 없다.
197 | high | 2026-07-15 | EU | 2026-07-15_EU_05 | Ionly, 스페인 발렌시아서 주거용 LFP 배터리 직렬생산 개시 | FACT: Ionly는 스페인 발렌시아주 라펠부뇰에서 첫 반자동 생산라인을 가동하고 주거용 배터리의 직렬생산을 시작했다. 해당 라인은 LFP 기반 주거용 에너지저장시스템을 생산한다. | GATE: 생산라인 가동은 유럽 주거용 저장장치의 현지 생산기반이 구축됐다는 의미다. 다만 생산능력과 실제 주문량은 별도이며 제품인증, 월별 출하와 고객설치 실적을 확인해야 한다.
198 | high | 2026-07-15 | EU | 2026-07-15_EU_04 | Milence, 네덜란드 A1에 400kW 전기트럭 충전면 5개 개장 | FACT: Milence는 2026년 7월 15일 네덜란드 Deurningen-Hengelo의 A1·북해-발트 TEN-T 회랑에 전기트럭 충전허브를 개장했다. 허브는 400kW CCS 충전면 5개를 갖췄다. 설계에는 향후 수요에 따른 확장 가능성이 반영됐다. | GATE: A1 물류축에 공용 전기트럭 충전거점이 실제 운영단계로 들어갔다. 현재 확인된 설비는 400kW CCS이며 MCS 설치로 확대해석해서는 안 된다. 이용률, 대기시간과 확장투자가 상업성을 판단할 핵심이다.
199 | high | 2026-07-15 | EU | 2026-07-15_EU_03 | GRIDserve, 영국 마컴 베일 39면 초급속 충전거점 가동 | FACT: GRIDserve는 영국 마컴 베일 일렉트릭 포코트(Markham Vale Electric Forecourt)가 운영을 시작했다고 밝혔다. 시설은 승용차용 36면과 드라이브스루 3면을 포함해 초급속 충전면 39개를 갖췄다. | GATE: 39면 운영개시는 실제 충전자산 추가를 보여주지만 이용률과 전력부하 실적까지 증명하지는 않는다. 포트별 이용률과 피크부하가 사업성의 다음 판단기준이다.
200 | high | 2026-07-15 | EU | 2026-07-15_EU_02 | ABB, 프랑스 Advantics 인수로 DC·SiC 전력변환 포트폴리오 확장 | FACT: ABB는 2026년 7월 15일 프랑스 전력전자 기업 Advantics를 인수하기로 했다고 발표했다. Advantics는 SiC 기반 전력변환 기술을 보유하고 있으며 거래종결은 2026년 4분기로 예정됐다. | GATE: 이번 발표는 인수계약 단계이며 거래종결과 제품통합이 남아 있다. SiC 역량 보강을 충전·산업전력 매출로 곧바로 환산할 수 없다.
201 | high | 2026-07-15 | EU | 2026-07-15_EU_01 | EU, DPP 6개 조화표준 발효: 배터리 여권 공통 구현기반 구체화 | FACT: EU 집행위원회는 7월 14일 디지털 제품여권 조화표준 시행결정 2026/1736을 채택했고 7월 15일 관보 게재와 함께 발효했다. 결정에는 데이터교환, 고유식별자, 데이터캐리어, 데이터저장, API, 상호운용성에 관한 6개 표준이 인용됐다. 해당 표준을 따르면 ESPR 제10조와 제11조의 관련 요구사항에 대해 적합성 | GATE: 이번 결정은 제품군 공통의 ESPR 수평 DPP 구현표준이며 배터리규정상 필수 데이터항목 전체를 새로 정한 것은 아니다. 접근권한, 정보보안, 데이터 신뢰성을 다루는 나머지 2개 표준은 이번 관보 인용에 포함되지 않았다. ESPR 적합성 추정과 배터리규정 전체 준수도 
202 | high | 2026-07-15 | CN | 2026-07-15_CN_03 | Envision AESC 이창 40GWh 가동…790Ah ESS 셀 해외 첫 출하 | FACT: Envision AESC는 7월 15일 중국 이창의 1단계 40GWh 배터리 프로젝트를 가동하고 790Ah 대용량 ESS 셀 생산을 시작했다. 전극·셀·팩 공정을 갖춘 공장에서 첫 물량을 해외 고객에게 출하했으며, 회사와 지방정부 설명에 따르면 해당 셀 생산능력의 50% 이상은 해외주문으로 확보됐다. | GATE: 가동·첫 출하·주문 잠금은 확인됐지만 수율, 실제 연간 출하량과 장기 운전성능은 공개되지 않았다. 에너지밀도·수명·효율 수치는 회사 설명이므로 독립 운전데이터와 구분해야 한다.
203 | high | 2026-07-15 | CN | 2026-07-15_CN_02 | Great Power, 상반기 순이익 8억~8.66억위안 흑자전환 예고 | FACT: Great Power는 2026년 상반기 주주귀속 순이익을 8억~8.66억위안으로 예상했다. 전년 동기 8822.67만위안 적자에서 흑자전환하는 수치다. | GATE: 수치는 잠정·미감사 실적예고다. 제품별 판매량, 가격, 마진, 비경상항목은 반기보고서에서 분리해 확인해야 한다.
204 | high | 2026-07-15 | CN | 2026-07-15_CN_01 | 상하이 Songjiang 50MW·200MWh BESS, 전력피크에 전출력 방전 | FACT: 상하이 Songjiang의 50MW·200MWh 독립형 BESS는 2026년 6월 26일 전용량 계통연결을 달성했다. 설비는 7월 15일 전력피크 대응에 투입돼 전출력 방전을 수행했다. | GATE: 이번 새 실행신호는 2026년 7월 15일의 전출력 방전이다. 6월 26일 계통연결은 배경이며 운영수익은 공개근거가 없다.
205 | high | 2026-07-14 | US | 2026-07-14_US_05 | 엔켐, 인디애나 공장부지 매입옵션 연말 연장 요청 | FACT: WVPE는 엔켐 미국법인이 인디애나주 세인트조셉카운티의 8에이커 부지 매입옵션을 2026년 말까지 연장해 달라고 요청했다고 보도했다. 카운티 재개발위원회 공식 일정에는 7월 14일 회의 안건과 패킷이 게시됐다. 보도시점에는 연장안의 최종 의결결과와 공장 착공일이 확인되지 않았다. | GATE: 확인된 사건은 부지옵션 연장 요청이며 공장투자 철회나 연장 승인으로 확정할 수 없다. 연말까지 옵션이 연장되더라도 실제 부지매입, 투자결정과 착공이 별도 실행관문이다.
206 | high | 2026-07-14 | US | 2026-07-14_US_04 | FPUSA, 텍사스 Wildfire 100MW·400MWh BESS 조건부 선정 | FACT: Frontier Power USA와 Bimergen은 2026년 7월 14일 텍사스 Caldwell County의 Wildfire 100MW·400MWh BESS를 FPUSA 플랫폼 전환대상으로 선정했다고 발표했다. 설비는 Eos Z3 장주기 배터리 적용을 예상한다. 거래종결은 최종문서 체결과 Eos 권리공모의 성공적 종 | GATE: 현재 단계는 프로젝트 선정이며 확정구매주문, NTP 또는 착공이 아니다. FPUSA는 기존 2GWh Eos 예약계약 아래 1.8GWh의 종결·선정 프로젝트를 확보했다고 밝혔지만 Wildfire의 최종계약과 프로젝트 금융은 남아 있다.
207 | high | 2026-07-14 | US | 2026-07-14_US_03 | 미국 2분기 급속충전 4,382포트 추가…테슬라 누적점유율 50% 하회 | FACT: Paren은 2026년 2분기 미국 공공 DC 급속충전망에 806개 사이트와 4,382개 포트가 추가됐다고 집계했다. 신규 포트는 2025년 2분기 4,865개보다 10% 적었고, 테슬라는 분기 신규 포트의 27%인 1,185개를 설치했다. 테슬라의 누적 활성포트 점유율은 처음 50% 아래로 내려갔으며 전국 평균 이용률은 | GATE: 포트와 사이트 수는 이용량·수익성·가동신뢰성을 직접 의미하지 않는다. 테슬라의 누적점유율 하락도 절대 설치기반 축소가 아니라 월마트·차지포인트·레드 E 등 비테슬라 네트워크의 상대적 확대를 반영한다.
208 | high | 2026-07-14 | KR | 2026-07-14_KR_03 | 국회 토론회, 전략 핵심광물 재자원화율 7%…2030년 20% 목표 | FACT: 2026년 7월 14일 국회 토론회에서 국내 10대 전략 핵심광물의 2024년 재자원화율이 7%로 제시됐다. 산업통상자원부 관계자는 2030년까지 수요의 20%를 재자원화로 충당할 계획이라고 밝혔다. 토론에서는 업계의 80%가 영세 중소기업이라는 산업구조와 원료회수·전처리·정제·품질인증·수요기업 납품을 연결하는 지원체계  | GATE: 7%는 2024년 기준 10대 전략 핵심광물 전체 재자원화율이며 개별광물별 회수율과 경제성은 다를 수 있다. 2030년 20%는 정책목표로, 별도 예산·원료확보·가격인센티브와 규제개선이 실행돼야 한다.
209 | high | 2026-07-14 | KR | 2026-07-14_KR_02 | LG화학, 도요타 북미법인에 양극재 직납 개시 보도 | FACT: 더일렉은 2026년 7월 14일 LG화학이 2분기부터 도요타 북미 제조법인 TEMA에 배터리 양극재를 공급하고 있다고 업계를 인용해 보도했다. LG 공식자료는 2023년 TEMA와 2.9조원 규모의 장기 양극재 공급계약을 체결한 사실을 확인한다. 현재 공급량, 제품사양과 생산공장은 공개되지 않았다. | GATE: 직납 개시는 더일렉의 업계취재에 기반하며 LG화학과 도요타의 당일 공식발표는 없다. 공급량·제품사양·생산공장이 공개되지 않아 매출효과와 미국 공급망 적격성은 아직 확정하기 어렵다.
210 | high | 2026-07-14 | KR | 2026-07-14_KR_01 | 삼성SDI UPS 배터리, UL솔루션즈 실내 대형화재시험 세계 최초 충족 | FACT: 삼성SDI는 2026년 7월 14일 UPS용 배터리가 UL솔루션즈의 실내 대형화재시험 평가기준을 세계 최초로 충족했다고 발표했다. 시험은 랙 내 모듈을 강제로 전소한 뒤 인접 랙과 시스템으로의 화재확산을 검증하는 방식이다. 회사에 따르면 시험 모듈은 전소됐지만 주변 랙 화재전파, 가스배출, 폭발과 파열은 발생하지 않았고  | GATE: 시험결과는 특정 UPS 시스템과 시험조건에서 확인된 랙 단위 성능이다. 모든 설치환경이나 장기간 운전의 화재위험을 포괄적으로 보증하지 않으므로 시험규격·적용제품·설치조건을 함께 봐야 한다.
211 | high | 2026-07-14 | GL | 2026-07-14_GL_06 | 아르헨티나, Tres Quebradas 2단계 리튬사업에 7억900만달러 승인 | FACT: 아르헨티나 RIGI 평가위원회는 2026년 7월 14일 Catamarca의 Tres Quebradas 리튬 프로젝트 2단계 사업을 승인했다. 승인 범위에는 7억900만달러 투자와 연 4만t 탄산리튬 생산계획이 포함됐다. | GATE: 이번 결정은 RIGI 인센티브 체계상 사업 승인으로, 실제 착공·준공·램프업을 보장하지 않는다. 자금집행과 건설일정, 생산개시가 공급확대의 후속 실행 게이트다.
212 | high | 2026-07-14 | GL | 2026-07-14_GL_05 | Transgrid, NSW 계통강도 계획에 계통형성 BESS 900MW 조건부 반영 | FACT: Transgrid는 2026년 7월 14일 NSW 계통강도 계획 개정안을 공개하고 계통형성 배터리의 역할 확대를 제시했다. Energy-Storage.News는 최소 계통강도 요건에 기여할 수 있는 경로를 900MW로 보도했다. Transgrid는 기술 신뢰성이 검증된 경우에만 해당 역할을 적용할 수 있다고 밝혔다. | GATE: 900MW는 확정 조달량이나 개별 프로젝트 배분이 아니라 Transgrid 계획에서 검토하는 경로다. 최종 승인과 성능인증·보상기준이 확인돼야 실제 계통강도 자원 전환 여부를 판단할 수 있다.
213 | high | 2026-07-14 | EU | 2026-07-14_EU_03 | Altilium, 영국 EV 배터리 재활용 운영에 ReGenTrace AI 배치 | FACT: 영국 배터리 재활용기업 Altilium은 ReGenTrace AI를 자사의 영국 EV 배터리 재활용 운영에 배치했다. 이 플랫폼은 배터리 분석과 디지털 추적 기능을 운영체계에 결합한다. 구체적인 적용 사업장과 성과지표는 공개되지 않았다. | GATE: 핵심 실행앵커는 재활용 운영에 디지털 분석·추적 플랫폼을 실제 배치했다는 점이다. 다만 적용 사업장, 데이터 범위와 규제보고 자동화 수준은 아직 공개되지 않았다. 운영효율과 추적성 개선효과는 후속 실적에서 확인해야 한다.
214 | high | 2026-07-14 | EU | 2026-07-14_EU_01 | EU, 휴대용 배터리 탈착 예외 6개 제품군 위임법 채택 | FACT: 유럽연합 집행위원회는 2026년 7월 14일 휴대용 배터리의 탈착·교체 의무 예외에 6개 제품군을 추가하는 위임법을 채택했다. 범위에는 스마트워치·피트니스트래커 등 웨어러블, 전기완구와 폭발위험 환경용 ATEX 제품 등이 포함된다. 채택된 위임법은 유럽의회와 이사회 심사를 거친다. | GATE: 집행위원회 채택으로 규제단계가 의견수렴에서 위임법 채택으로 올라갔지만 곧바로 최종 발효되는 것은 아니다. 유럽의회·이사회 심사, 관보 게재와 적용일을 분리해 확인해야 한다.
215 | high | 2026-07-14 | CN | 2026-07-14_CN_01 | 중국 해관총서, 상반기 리튬배터리 수출 37.6% 증가 발표 | FACT: ECNS는 중국 해관총서 관계자 발표를 인용해 2026년 상반기 리튬배터리 수출이 전년 동기보다 37.6%, 풍력터빈 수출이 35.6% 증가했다고 보도했다. TechNode도 7월 14일 같은 증가율을 전했으며, 공개자료에는 금액·물량 기준과 절대 수출규모가 제시되지 않았다. | GATE: 증가율은 공식 브리핑 인용 수치지만 공개 기사만으로 금액 기준인지 물량 기준인지 확인되지 않는다. 따라서 시장점유율·가격경쟁력·수익성 확대를 단정하지 않는다.
216 | high | 2026-07-13 | US | 2026-07-13_US_05 | Bosch, 미국 Roseville SiC 공장 샘플생산 개시 | FACT: Bosch는 2026년 7월 13일 미국 상무부와 최대 2억2,500만달러의 CHIPS 직접지원 계약을 체결했다고 발표했다. 캘리포니아 Roseville 공장 전환에는 최대 20억달러를 투자하며, 샘플생산을 시작해 200mm 웨이퍼 기반 SiC 칩의 첫 상업생산을 2026년 중 시작하는 것을 목표로 한다. | GATE: 샘플생산은 공장 전환이 장비설치에서 공정·고객검증으로 이동했다는 의미다. CHIPS 직접지원은 최대 2억2,500만달러의 확정 계약 범위지만 지급·상업생산·수율·고객인증은 조건 이행과 2026년 목표 달성 여부를 추가 확인해야 한다.
217 | high | 2026-07-13 | US | 2026-07-13_US_04 | Avantus, Rexford 2에 20년 PPA…200MW·800MWh BESS 연계 | FACT: Avantus와 Clean Power Alliance는 2026년 7월 13일 Rexford 2 태양광·저장 프로젝트의 20년 전력구매계약을 발표했다. 프로젝트는 200MW 태양광과 200MW·800MWh BESS로 구성되며 Fluence가 미국산 구성의 4시간 Smartstack 시스템과 EPC를 공급한다. 착공은 20 | GATE: 20년 PPA는 장기 수익기반을 구체화했고 Fluence 계약은 BESS 조달경로를 잠갔다. 공개 목표는 2027년 착공과 2028년 말 상업운전이지만 이는 미래예측 일정이며 금융종결·착공통지와 실제 공정에 따라 달라질 수 있다.
218 | high | 2026-07-13 | US | 2026-07-13_US_03 | Stryten, C&D Trojan 인수계약…미국 15개 제조거점 통합 예고 | FACT: Stryten Energy는 2026년 7월 13일 C&D Technologies와 Trojan Battery를 인수하는 최종계약 체결을 발표했다. 거래 종결 후 미국 내 배터리 제조·부품시설 15곳과 약 3,700명의 미국 인력을 운영하며 AGM 배터리 생산능력을 확대할 계획이다. 종결 목표는 통상적 조건과 규제승인을  | GATE: 거래 종결 시 미국 산업용·동력용 배터리 제조기반의 통합도가 높아질 수 있다. 2026년 3분기 종결은 통상적 조건과 규제승인을 전제로 하며 시설·제품별 통합 및 AGM 증설규모는 아직 공개되지 않았다.
219 | high | 2026-07-13 | US | 2026-07-13_US_01 | ReElement, 8000만달러 대출 철회 뒤 펜타곤 2500만달러 투자 확보 | FACT: ReElement Technologies는 연방 실사요건 충족에 어려움을 겪은 뒤 8000만달러 규모 펜타곤 조건부 대출 추진을 중단했다. 7월 13일 미 국방부는 마리온 정제시설의 자석 재활용·희토류·게르마늄·갈륨 생산장비 구입과 설치를 위해 2500만달러를 투자한다고 발표했다. 보도시점에는 해당 자금이 보조금·대출·지 | GATE: 2500만달러 투자는 종전 8000만달러 대출의 단순 대체나 동일조건 승계가 아니며 지원수단의 법적 형태도 보도시점에 공개되지 않았다. 장비설치·상업가동 일정과 정부자금의 권리·상환조건이 실제 지원효과의 다음 기준이다.
